bed1,bed2,unionA,unionB
01_base_bigO.bed,-,15000.000000,14630807.000000
01_base_bigO.bed,02_2A.bed,30000.000000,29424900.000000
01_base_bigO.bed,03_halfB.bed,45000.000000,23411591.000000
01_base_bigO.bed,04_base_smallO.bed,30000.000000,26631286.000000
01_base_bigO.bed,05_2A.bed,45000.000000,44602584.000000
01_base_bigO.bed,06_2B.bed,45000.000000,63836377.000000
01_base_bigO.bed,07_noO.bed,30000.000000,30760369.000000
02_2A.bed,-,30000.000000,29424900.000000
02_2A.bed,03_halfB.bed,60000.000000,29424900.000000
02_2A.bed,04_base_smallO.bed,45000.000000,36585393.000000
02_2A.bed,05_2A.bed,60000.000000,53505263.000000
02_2A.bed,06_2B.bed,60000.000000,69184505.000000
02_2A.bed,07_noO.bed,45000.000000,45554462.000000
03_halfB.bed,-,30000.000000,18055719.000000
03_halfB.bed,04_base_smallO.bed,45000.000000,29303077.000000
03_halfB.bed,05_2A.bed,60000.000000,46682290.000000
03_halfB.bed,06_2B.bed,60000.000000,65114486.000000
03_halfB.bed,07_noO.bed,45000.000000,34185281.000000
04_base_smallO.bed,-,15000.000000,17945340.000000
04_base_smallO.bed,05_2A.bed,30000.000000,35916638.000000
04_base_smallO.bed,06_2B.bed,45000.000000,58648957.000000
04_base_smallO.bed,07_noO.bed,30000.000000,34074902.000000
05_2A.bed,-,30000.000000,35916638.000000
05_2A.bed,06_2B.bed,60000.000000,58648957.000000
05_2A.bed,07_noO.bed,45000.000000,52046200.000000
06_2B.bed,-,30000.000000,58648957.000000
06_2B.bed,07_noO.bed,45000.000000,74778519.000000
07_noO.bed,-,15000.000000,16129562.000000
