Accession	File	Target_of_Assay	Biosample_term_name	Organism	Life_stage
ENCSR597BGP	ENCFF072JUZ		stomach	Mus musculus	postnatal
ENCSR124NNL	ENCFF488BRH		liver	Homo sapiens	adult
ENCSR023QZX	ENCFF212RVS		kidney	Mus musculus	embryonic
ENCSR102NGD	ENCFF199QEJ		lung	Mus musculus	postnatal
ENCSR465PYP	ENCFF062OME		liver	Mus musculus	embryonic
ENCSR389CLN	ENCFF838ZVF		kidney	Mus musculus	postnatal
ENCSR302LIV	ENCFF398PBL		liver	Mus musculus	embryonic
ENCSR618HDK	ENCFF367RKA		stomach	Mus musculus	embryonic
ENCSR609OHJ	ENCFF764NTQ		liver	Mus musculus	postnatal
ENCSR363SKQ	ENCFF285NRY		stomach	Mus musculus	embryonic
ENCSR732OTZ	ENCFF614EDS		kidney	Mus musculus	embryonic
ENCSR335VJW	ENCFF667XVU		lung	Mus musculus	embryonic
ENCSR255XTC	ENCFF241BAL		liver	Mus musculus	embryonic
ENCSR486XAS	ENCFF964WYX		stomach	Mus musculus	embryonic
ENCSR032HKE	ENCFF289KOI		liver	Mus musculus	embryonic
ENCSR343TXK	ENCFF470CZJ		liver	Mus musculus	embryonic
ENCSR758IRM	ENCFF251OST		kidney	Mus musculus	embryonic
ENCSR668EIA	ENCFF789RHY		lung	Mus musculus	embryonic
ENCSR785NEL	ENCFF164IXK		liver	Mus musculus	embryonic
ENCSR647AOY	ENCFF818EYD		lung	Homo sapiens	adult
ENCSR554JQP	ENCFF409JYK		cerebellum	Mus musculus	adult
ENCSR802GEV	ENCFF081WNU		cerebellum	Homo sapiens	adult
ENCSR337UIU	ENCFF880EHI		stomach	Homo sapiens	adult
ENCSR851SBY	ENCFF028CAI		stomach	Homo sapiens	adult
ENCSR297VGU	ENCFF845OZO		kidney	Homo sapiens	adult
